Product_ID,Sale_Date,Sales_Rep,Region,Region_and_Sales_Rep,Product_Category,Unit_Cost,Unit_Price,Quantity_Sold,Sales_Amount,Discount,Customer_Type,Payment_Method,Sales_Channel
1052,03-02-2023,Bob,North,North-Bob,Furniture,152.75,267.22,18,5053.97,0.09,Returning,Cash,Online
1093,21-04-2023,Bob,West,West-Bob,Furniture,3816.39,4209.44,17,4384.02,0.11,Returning,Cash,Retail
1015,21-09-2023,David,South,South-David,Food,261.56,371.4,30,4631.23,0.2,Returning,Bank Transfer,Retail
1072,24-08-2023,Bob,South,South-Bob,Clothing,4330.03,4467.75,39,2167.94,0.02,New,Credit Card,Retail
1061,24-03-2023,Charlie,East,East-Charlie,Electronics,637.37,692.71,13,3750.2,0.08,New,Credit Card,Online
1021,11-02-2023,Charlie,West,West-Charlie,Food,900.79,1106.51,32,3761.15,0.21,New,Cash,Online
1083,11-04-2023,Bob,West,West-Bob,Furniture,2408.81,2624.09,29,618.31,0.14,Returning,Cash,Online
1087,06-01-2023,Eve,South,South-Eve,Furniture,3702.51,3964.65,46,7698.92,0.12,New,Bank Transfer,Online
1075,29-06-2023,David,South,South-David,Furniture,738.06,1095.45,30,4223.39,0.05,New,Bank Transfer,Online
1075,09-10-2023,Charlie,West,West-Charlie,Clothing,2228.35,2682.34,18,8239.58,0.13,New,Bank Transfer,Online
1088,16-11-2023,Eve,North,North-Eve,Furniture,2440.11,2517.6,13,8518.45,0.23,New,Bank Transfer,Retail
1100,14-08-2023,Bob,West,West-Bob,Food,1100.81,1137.44,43,2198.74,0.08,Returning,Bank Transfer,Online
1024,11-11-2023,Eve,West,West-Eve,Food,622.01,641.09,21,6607.8,0,Returning,Bank Transfer,Retail
1003,31-12-2023,Alice,South,South-Alice,Furniture,4190.28,4270.65,30,4775.59,0.2,New,Cash,Online
1022,17-08-2023,Charlie,South,South-Charlie,Food,2537.2,2869.6,21,8813.55,0.29,New,Bank Transfer,Retail
1053,16-10-2023,Bob,North,North-Bob,Furniture,121.19,487.65,48,2235.83,0.18,New,Cash,Retail
1002,30-05-2023,David,North,North-David,Furniture,4024.76,4420.15,17,6810.35,0.04,Returning,Cash,Online
1088,04-10-2023,Bob,East,East-Bob,Electronics,4904.93,5034.35,40,6116.75,0.1,New,Credit Card,Retail
1030,17-07-2023,David,West,West-David,Clothing,3049.33,3209.22,19,3023.48,0.26,Returning,Cash,Online
1038,11-03-2023,Bob,South,South-Bob,Clothing,2543.36,2790.1,15,1452.35,0.07,Returning,Cash,Online
1002,22-04-2023,Eve,North,North-Eve,Electronics,4398.16,4439.12,9,6551.23,0.18,New,Bank Transfer,Online
1064,04-01-2023,Eve,East,East-Eve,Electronics,4764.96,5074.42,10,7412.11,0.12,New,Cash,Online
1060,16-12-2023,Eve,East,East-Eve,Clothing,3784.96,4276.99,44,3224.71,0.06,New,Bank Transfer,Retail
1021,27-11-2023,Alice,South,South-Alice,Furniture,2254.99,2441.79,31,6483.84,0.24,Returning,Bank Transfer,Online
1033,14-11-2023,David,South,South-David,Furniture,2981.5,3360.4,23,4011.8,0.22,Returning,Bank Transfer,Retail
1076,16-12-2023,Eve,East,East-Eve,Clothing,3519.63,3774.65,30,7160.75,0.2,New,Credit Card,Retail
1058,05-04-2023,Alice,North,North-Alice,Furniture,1011.65,1084.28,33,2072.23,0.07,Returning,Bank Transfer,Retail
1022,01-06-2023,David,East,East-David,Electronics,2263.65,2558.95,9,8913.13,0.03,New,Cash,Online
1089,07-11-2023,Bob,West,West-Bob,Furniture,4157.62,4314.56,47,2945.36,0.17,New,Bank Transfer,Retail
1049,17-05-2023,Alice,West,West-Alice,Furniture,3290.89,3317.75,1,3741.08,0.17,Returning,Bank Transfer,Online
1091,04-09-2023,Charlie,South,South-Charlie,Food,2085.46,2406.58,44,675.11,0.06,Returning,Bank Transfer,Retail
1059,31-08-2023,Alice,North,North-Alice,Food,3333.64,3764.52,35,1203.97,0.02,Returning,Credit Card,Online
1042,31-01-2023,Alice,North,North-Alice,Food,635.2,814.14,11,5207.03,0.02,Returning,Cash,Online
1092,09-02-2023,David,West,West-David,Furniture,2037.41,2238.65,34,2749.17,0.3,New,Credit Card,Online
1060,17-08-2023,Bob,East,East-Bob,Clothing,3975.99,4422.59,16,8371.25,0.24,New,Cash,Online
1080,05-02-2023,Charlie,South,South-Charlie,Electronics,1141.52,1550.19,9,245.46,0.28,New,Credit Card,Retail
1015,11-08-2023,Eve,East,East-Eve,Furniture,970.51,1330.84,32,3853.03,0.06,Returning,Cash,Retail
1062,06-01-2023,Eve,East,East-Eve,Clothing,4756.55,4888.46,15,3439.72,0.29,New,Credit Card,Online
1062,18-11-2023,Alice,East,East-Alice,Furniture,1088.99,1545,12,291.34,0.04,Returning,Bank Transfer,Retail
1047,08-08-2023,David,North,North-David,Electronics,1341.55,1427.21,33,1331.25,0.15,Returning,Credit Card,Online
1062,16-03-2023,David,West,West-David,Furniture,4849.6,5166.72,45,4195.06,0.25,Returning,Credit Card,Online
1051,04-01-2023,Eve,North,North-Eve,Electronics,3686.81,3710.92,14,4979.36,0.1,New,Bank Transfer,Retail
1055,01-12-2023,Charlie,West,West-Charlie,Furniture,3513,3838.42,8,4102.47,0.13,Returning,Bank Transfer,Online
1064,14-05-2023,Bob,South,South-Bob,Electronics,4271.99,4417.79,8,5356.28,0.04,Returning,Cash,Online
1003,28-04-2023,Charlie,South,South-Charlie,Furniture,623.32,853.66,27,5991.8,0.04,Returning,Cash,Online
1051,04-04-2023,Bob,East,East-Bob,Electronics,3544.48,3723.66,12,198.25,0.19,Returning,Cash,Online
1007,03-03-2023,Eve,West,West-Eve,Food,2543.26,2637.91,1,4694.54,0.2,Returning,Credit Card,Online
1021,13-07-2023,Bob,West,West-Bob,Furniture,4154.3,4469.07,43,9638.64,0.23,Returning,Cash,Retail
1073,01-12-2023,David,West,West-David,Furniture,2565.3,3007.47,40,5238.42,0.17,Returning,Credit Card,Retail
1039,22-07-2023,Alice,East,East-Alice,Clothing,3120.19,3600.14,42,6807.67,0.19,Returning,Credit Card,Retail
1018,26-01-2023,Alice,East,East-Alice,Clothing,2414.82,2519.07,11,3187.45,0,Returning,Cash,Online
1004,22-06-2023,Eve,South,South-Eve,Electronics,2416.89,2778.4,39,7762.51,0.05,Returning,Cash,Online
1089,27-10-2023,David,North,North-David,Furniture,3851.45,4186.98,43,7751.92,0.3,Returning,Credit Card,Online
1060,13-05-2023,Charlie,West,West-Charlie,Electronics,3161.4,3339.66,31,5260.83,0.02,Returning,Bank Transfer,Online
1014,22-11-2023,David,West,West-David,Food,3184.65,3204.01,17,9762.54,0.2,New,Bank Transfer,Online
1009,28-04-2023,Alice,North,North-Alice,Clothing,2278.9,2626.9,33,1342.95,0.05,New,Credit Card,Online
1090,20-11-2023,Alice,West,West-Alice,Electronics,2678.99,3152.28,32,267.78,0.22,Returning,Cash,Retail
1053,02-10-2023,David,East,East-David,Electronics,3741.3,4061.04,29,7724.57,0.21,Returning,Credit Card,Online
1002,31-07-2023,David,East,East-David,Clothing,4138.41,4361.7,21,8090.84,0.07,Returning,Credit Card,Retail
1084,13-08-2023,Alice,West,West-Alice,Furniture,3497.98,3765.31,21,1290.05,0.08,New,Cash,Online
1092,20-01-2023,Charlie,East,East-Charlie,Electronics,4624.16,4731.98,40,2729.27,0.2,New,Bank Transfer,Retail
1060,23-04-2023,Eve,East,East-Eve,Clothing,4110.6,4488.37,23,273.77,0.12,New,Credit Card,Online
1071,20-05-2023,Eve,West,West-Eve,Furniture,2831.23,3206.98,6,3003.76,0.06,Returning,Bank Transfer,Retail
1044,16-02-2023,David,South,South-David,Food,3373.46,3454.76,22,7754.1,0.22,Returning,Bank Transfer,Retail
1008,01-01-2023,Eve,North,North-Eve,Clothing,4635.23,5075.44,38,5227.81,0.05,Returning,Cash,Online
1047,31-03-2023,Alice,East,East-Alice,Electronics,3114.88,3256.78,37,3546.15,0.26,Returning,Credit Card,Online
1035,22-05-2023,Alice,South,South-Alice,Food,4132.79,4624.1,45,3780.22,0.15,New,Credit Card,Retail
