,Title,Published_date,Views,Likes,Comments,Month
0,I went on a CASUAL DATE ft. Triumph Scrambler 400x | Daily Observations #107,2025-03-25,135218,9347,555,Mar
1,Tiger Rider vs Unicorn Rider,2025-03-20,8923,848,15,Mar
2,THE WORST MOTOVLOGGER | Daily Observations #106,2025-03-16,130777,10635,700,Mar
3,Even WOMEN are BAD DRIVERS | Daily Observations #105,2025-03-11,152528,10332,507,Mar
4,The TRUTH about ULTRAVIOLETTE | by a PETROLHEAD,2025-03-02,108855,7246,533,Mar
5,When TROLLING turns into HATE | Daily Observations #104,2025-02-24,174008,13553,791,Feb
6,An INTROVERT at a BIKING PARTY | EP 03,2025-02-09,98015,8772,537,Feb
7,Emotional purchases be like,2025-02-04,25219,4448,97,Feb
8,I DROPPED THE HIMALAYAN AGAIN! | EP 02,2025-01-26,186952,11218,679,Jan
9,I TAKE MY SUBSCRIBERS TO GOA | EP 01,2025-01-19,142838,10613,545,Jan
10,Sunday working VS Sick Leave,2025-01-12,17439,1712,43,Jan
11,Am I an AKSHAY KUMAR HATER? | Teleprompter Controversy,2025-01-12,221912,17002,1892,Jan
12,"Dear Ather, please make scooters great again | 2025 Ather 450x",2025-01-05,131137,8291,422,Jan
13,I DID MUMBAI to LONAVALA in 100 RS | Daily Observations #102,2024-12-29,187145,15193,834,Dec
14,RACING IN INDIA NEEDS TO CHANGE,2024-12-15,404755,21829,890,Dec
15,I hate it when she does this!,2024-12-12,32539,3456,58,Dec
16,I love it when she says,2024-12-11,44298,8376,92,Dec
17,-1000 Aura Moment 😭,2024-12-10,31555,3192,42,Dec
18,The best way to dress up in my opinion!,2024-12-09,52911,6206,136,Dec
19,I WENT CAR SPOTTING IN MUMBAI | Daily Observations #101 ft. @tiivra Helmets,2024-12-08,292795,18739,943,Dec
20,She’s a better rider than most riders!,2024-11-19,54878,4457,103,Nov
21,Pune vs Helmets,2024-11-17,10025,1000,20,Nov
22,When a MUMBAI RIDER rides in PUNE | Daily Observations #100,2024-11-17,248796,21030,1259,Nov
23,I overthink a lot!,2024-11-16,10421,1251,33,Nov
24,The correct way to have an Ice cream,2024-11-14,9418,893,22,Nov
25,Oversmartness GONE WRONG!,2024-11-12,11414,1233,21,Nov
26,SQUID Rider wants to RACE | Daily Observations #99,2024-11-10,438769,25538,1843,Nov
27,RAGE RANT : Horrible RE Service | Daily Observations #98,2024-10-27,224164,15514,1278,Oct
28,ROAD RAGE : Indian Traffic is Hilarious | Daily Observations #97,2024-10-19,157548,12606,438,Oct
29,DO YOU KNOW THIS ABOUT YOUR TYRE? Ft. @ApolloTyresLtd,2024-10-13,33708,2867,209,Oct
30,DJI Osmo Action 5 PRO vs GOPRO Hero 13 Black | The ONE THING no one is talking about!,2024-10-07,66692,4865,287,Oct
31,BAD DRIVERS : Eating and Driving | Daily Observations #96,2024-09-22,143895,11154,695,Sep
32,PROBLEMS WITH MY GT 650 | Daily Observations #95,2024-09-15,161687,12121,612,Sep
33,DOES YOUR TYRE HAVE THIS? ft. @ApolloTyresLtd,2024-09-08,40407,3964,249,Sep
34,HOW I MODIFIED MY DREAM BIKE | TUNING EP 01,2024-09-01,221279,16437,705,Sep
35,IDIOTS IN MONSOONS | Daily Observations #94,2024-08-25,188642,14533,614,Aug
36,HE ROASTED ME AT THE PETROL PUMP | Daily Observations #93 Ft. Bajaj Freedom 125,2024-08-18,254979,17541,1742,Aug
37,ROAD RAGE: Confronting BAD DRIVERS of MUMBAI | Daily Observations #92,2024-08-11,247229,17141,573,Aug
38,I FELT INSECURE LOOKING AT HIS BIKE | Daily Observations #91,2024-08-04,289975,18018,612,Aug
39,BAD DRIVERS : INDIA is NOT for BEGINNERS | Daily Observations #90,2024-07-21,178099,13758,768,Jul
40,The Function of a FOOTPATH,2024-07-16,45528,4599,42,Jul
41,CRASHED AND BROKE THE SCOOTER | Daily Observations #89,2024-07-14,441061,20952,934,Jul
42,Super Fast BAD DRIVERS of Mumbai | Daily Observations #88,2024-07-07,218066,14964,618,Jul
43,Wear helmet at the back also ❌ Wear helmet at the back only ✅,2024-07-01,24928,2582,25,Jul
44,ROAD RAGE : Bad Girls of MUMBAI | Daily Observations #87,2024-06-30,243464,16728,818,Jun
45,Bad roads are actually good for us!,2024-06-24,15303,1099,10,Jun
46,Why Your Motovlogs DON'T Look THIS GOOD? | Ft. DJI Osmo Action 4,2024-06-23,482471,21592,1188,Jun
47,The worst idea ever!,2024-06-22,15511,1421,15,Jun
48,BAD DRIVERS : IDIOT Hiding from COPS ready to HIT ME | Daily Observations #86,2024-06-16,172147,13604,524,Jun
49,@SnaxGaming's Subscriber CRASHED and it's MY FAULT! | Daily Observations #85,2024-06-09,217276,16459,797,Jun
50,ReRoute | A Short Film on Motorcyclists,2024-05-25,285363,21161,900,May
51,BAD DRIVERS : Cab vs Cyclist | Daily Observations #84,2024-05-19,200570,16529,630,May
52,HOW DOES MY GT 650 RIDE AFTER 2 YEARS | RAW Onboard | 4K,2024-05-05,140197,9931,636,May
53,CLOSE CALL: GETTING CORNERED BY TRUCKS | Daily Observations #83,2024-04-21,212920,17407,719,Apr
54,WHY I HATE ALL INDIAN BIKERS | ROAD RAGE,2024-04-01,210916,18559,2716,Apr
55,Picking up People's TRASH and RETURNING THEM | Daily Observations #82,2024-03-24,221029,18147,1020,Mar
56,HOW RIDING ON THE TRACK CHANGED THE WAY I RIDE ft. Aprilia RS 457,2024-03-10,160286,14470,1152,Mar
57,WHAT ON EARTH IS THIS? | Daily Observations India #81,2024-01-01,241679,20932,1333,Jan
58,BAD BOYS of Mumbai | Daily Observations #80,2023-12-24,206987,15156,576,Dec
59,AUTO DRIVERS DON'T WANT YOU TO KNOW THIS | Daily Observations #79,2023-12-10,221284,17559,2434,Dec
60,This ROAD RAGE is Turning Me into the ANIMAL | Daily Observations #78,2023-12-03,517118,23037,876,Dec
61,BUSTED BY MUMBAI POLICE | Daily Observations India #77,2023-11-26,206812,15479,746,Nov
62,DUMB INDIAN BIKERS | Daily Observations India #76,2023-11-12,270788,18465,1038,Nov
63,TROLLING BAD DRIVERS OF INDIA | Daily Observations India #75,2023-11-05,284085,20417,933,Nov
64,BAD DRIVERS: He Owns The Road | Daily Observations India #74,2023-10-29,252760,20191,1275,Oct
65,ROAD RAGE: Why Does Everyone Hate My Bike Exhaust? | Daily Observations #73,2023-10-22,559336,28604,1140,Oct
66,GENIUS DRIVERS OF INDIA | Daily Observations #72,2023-10-15,317799,20351,893,Oct
67,HOW FOREIGN BRANDS ARE ENTERING THE INDIAN MARKET | Triumph Speed 400,2023-10-04,380289,21045,1959,Oct
68,WHY MUMBAI CITY HAS THE WORST ROADS IN THE WORLD | DO #71,2023-08-12,209614,17590,1130,Aug
69,When a guy from MUMBAI rides on ICE for the FIRST TIME,2023-07-16,453218,24559,1295,Jul
70,RE Scram VS Himalayan,2023-06-10,61221,4559,44,Jun
71,Ride to this side of the INDIAN BORDER was the Strangest Experience Ever!,2023-05-21,224713,15253,1034,May
72,"I Sold my ""DREAM BIKE"" and bought the SPLENDOR",2023-04-01,322710,22991,1224,Apr
73,Landed directly on the Scram 411,2023-03-29,159249,14287,200,Mar
74,DON’T LET THE INTERNET FOOL YOU | Royal Enfield Super Meteor 650,2023-03-19,1443806,45285,3005,Mar
75,Real Life Experience of MY DREAM BIKE and MOTOVLOGGING | QnA,2023-02-19,185287,11732,902,Feb
76,Most advance protective gear money can buy,2023-02-16,230720,15233,131,Feb
77,Touring on a Cafe Racer | Watch full video at - OnBoard with Anurag,2023-02-14,95130,7449,99,Feb
78,BIGGEST MYTHS about Riding Gear BUSTED,2023-01-16,1082562,37880,2606,Jan
79,"I’m not drooling, you are.. Probably the first time I’m showing my darling off like this",2022-12-27,204861,24716,255,Dec
80,I GOT CRASHED INTO AGAIN! | Road Rage | Daily Observations #70,2022-12-11,436552,26400,880,Dec
81,Exploring Beaches of the Western Coast | EP 01 | 4K,2022-11-27,302261,16053,802,Nov
82,When you Crash your Motorcycle and it's NOT YOUR FAULT,2022-11-06,348200,17311,738,Nov
83,Don’t even get me started on the countless minutes of valuable footage I’ve lost😡 I hope this fixes,2022-10-30,288020,18289,82,Oct
84,Add to cart,2022-10-27,90899,8561,226,Oct
85,HE CRASHED INTO MY BRAND NEW BIKE | Daily Observations #69 | Road Rage,2022-10-09,341839,22375,812,Oct
